"","intercept","marg.expectation","time","marg_target","c","distn"
"elapsed210",-0.185742650374542,0.7711876,16.0959999999977,0.8,2,"binary_080"
"elapsed310",-0.475829267083015,0.76223667,16.150999999998,0.8,2.5,"binary_080"
"elapsed410",-0.712847290915156,0.75469186,16.0820000000022,0.8,3,"binary_080"
"elapsed57",0.634255662731754,0.78463453,14.875,0.8,1,"unif_n13"
"elapsed119",0.0260580005695071,0.75351888,15.1290000000008,0.8,1.5,"unif_n13"
"elapsed217",-0.405465108108164,0.727997,14.9409999999989,0.8,2,"unif_n13"
"elapsed317",-0.740180435079479,0.70880701,14.9520000000048,0.8,2.5,"unif_n13"
"elapsed417",-1.01366277027041,0.69413888,14.8859999999986,0.8,3,"unif_n13"
"elapsed67",1.03972077083992,0.78710168,18.364999999998,0.8,1,"norm_01"
"elapsed127",0.836988216785836,0.76213083,18.390999999996,0.8,1.5,"norm_01"
"elapsed227",0.693147180559946,0.74152995,18.4579999999987,0.8,2,"norm_01"
"elapsed327",0.581575404902841,0.72568071,18.2920000000013,0.8,2.5,"norm_01"
"elapsed427",0.490414626505863,0.71333017,18.3790000000008,0.8,3,"norm_01"
"elapsed77",0.228790554623589,0.76956307,24.0170000000071,0.8,1,"gamma1_5"
"elapsed137",-0.784872215646822,0.71190254,23.9459999999963,0.8,1.5,"gamma1_5"
"elapsed237",-1.50407739677627,0.66842498,23.903999999995,0.8,2,"gamma1_5"
"elapsed337",-2.0619362750618,0.63724345,23.9660000000003,0.8,2.5,"gamma1_5"
"elapsed437",-2.51774016704668,0.61413068,23.8089999999938,0.8,3,"gamma1_5"
"elapsed40",1.52627890056972,0.89468643,16.0620000000054,0.9,1,"binary_080"
"elapsed120",0.999174260029101,0.88522174,15.9159999999974,0.9,1.5,"binary_080"
"elapsed218",0.625187565841786,0.87569261,15.9440000000031,0.9,2,"binary_080"
"elapsed318",0.335100949133314,0.86701604,15.8629999999976,0.9,2.5,"binary_080"
"elapsed418",0.0980829253011726,0.85925704,16.0120000000024,0.9,3,"binary_080"
"elapsed58",1.44518587894808,0.88786499,14.7609999999986,0.9,1,"unif_n13"
"elapsed1110",0.836988216785836,0.85949896,14.8129999999946,0.9,1.5,"unif_n13"
"elapsed219",0.405465108108164,0.83237027,14.7050000000017,0.9,2,"unif_n13"
"elapsed319",0.0707497811368498,0.80980731,14.726999999999,0.9,2.5,"unif_n13"
"elapsed419",-0.202732554054082,0.79147935,14.8160000000062,0.9,3,"unif_n13"
"elapsed68",1.85065098705625,0.88983654,18.2319999999891,0.9,1,"norm_01"
"elapsed128",1.64791843300216,0.86720184,18.1579999999958,0.9,1.5,"norm_01"
"elapsed228",1.50407739677627,0.84585612,18.3190000000031,0.9,2,"norm_01"
"elapsed328",1.39250562111917,0.82799718,17.4939999999915,0.9,2.5,"norm_01"
"elapsed428",1.30134484272219,0.81324451,17.5119999999879,0.9,3,"norm_01"
"elapsed78",1.03972077083992,0.87766053,22.7160000000003,0.9,1,"gamma1_5"
"elapsed138",0.026058000569507,0.82903639,22.7480000000069,0.9,1.5,"gamma1_5"
"elapsed238",-0.693147180559945,0.785458,22.7350000000006,0.9,2,"gamma1_5"
"elapsed338",-1.25100605884547,0.75053886,22.7960000000021,0.9,2.5,"gamma1_5"
"elapsed438",-1.70680995083036,0.72287037,22.6609999999928,0.9,3,"gamma1_5"
