"","intercept","marginal.expectation","iterations","a","b","time","marg_target","c","distn"
"168",1.13037109375,0.89991388,13,1.1279296875,1.1328125,0.547000000005937,0.9,2,"unif_n13"
"169",1.05712890625,0.89991909,13,1.0546875,1.0595703125,0.553999999989173,0.9,2.5,"unif_n13"
"170",1.01318359375,0.89984839,13,1.0107421875,1.015625,0.546000000002095,0.9,3,"unif_n13"
"171",1.962890625,0.90013516,11,1.953125,1.97265625,0.502999999996973,0.9,1,"norm_01"
"172",2.00439453125,0.90020369,13,2.001953125,2.0068359375,0.578999999997905,0.9,1.5,"norm_01"
"173",2.09716796875,0.90018622,13,2.0947265625,2.099609375,0.581000000005588,0.9,2,"norm_01"
"174",2.197265625,0.90027335,11,2.1875,2.20703125,0.489000000001397,0.9,2.5,"norm_01"
"175",2.29248046875,0.90033183,13,2.2900390625,2.294921875,0.834999999991851,0.9,3,"norm_01"
"176",1.27685546875,0.90006037,13,1.2744140625,1.279296875,0.625,0.9,1,"gamma1_5"
"177",0.72509765625,0.90017808,13,0.72265625,0.7275390625,0.618999999991502,0.9,1.5,"gamma1_5"
"178",0.4052734375,0.90018095,12,0.400390625,0.41015625,0.594999999986612,0.9,2,"gamma1_5"
"179",0.185546875,0.90031412,11,0.17578125,0.1953125,0.540999999997439,0.9,2.5,"gamma1_5"
"180",0.01708984375,0.90020409,13,0.0146484375,0.01953125,0.620999999999185,0.9,3,"gamma1_5"
